Review,Rating
"perfect absolutely fantastic, staff extremely helpful hotel excellent location, recommend hotel visiting paris,  ",5
"excellent hotel hotel fantastic price location, beautiful rooms excellent service staff highly recommend hotel, free internet rooms wonderful time, wuld definately stay,  ",5
"absolutely best hotel new york city chose hotel based high ranking trip advisor.we know rated 1 new york city, hotel best hotel stayed united states canada, time new york john staff feel home, rooms great complimentary breakfast wine cheese snacks daily great experience, hotel great location literally right heart times square.the service hotel absolute best, desk representatives friendly helpful people wish, way help way, greet smile leave come ask day ask, housekeeping staff cafe staff desk staff terrific, especially like thank peter jeffery desk staff absolutely going far duty make stay greatest experience, forget, stay casablanca hotel recommend hotel friends travel agents, look forward seeing future.mike sharon maurice bev,  ",5
"perfect hotel honeymoon wonderful way start honeymoon.both rooms stayed beautifully decorated unique, friendly charming staff, feel welcome minute arrived looking accomodating desire.we fantastic time romantic stay,  ",5
"fantastic believe read best hotels stayed in.from minute arrive staff ca n't make stay comfortable memorable.it oasis calm peace not believe just outside door times square.the location perfect coming days sightseeing free coffee juice fruit cookies welcome sight, wine cheese evening free wonderful way start evening.the beds pillows comfortable ceiling fans room really cool night day, truly wonderful hotel definate visit new york n't hesitate,  ",5
"best italy accommodations perfect location getting venice, new hotel perfect rooms conveying venician atmosphere easy access facility wonderful breakfast great host walter, set tone stay, spent nights rome florence venice trip far best locations, children enjoyed hotel, economical hotels, highly recommend stay,  ",5
"little gem hotel venice stayed hotel sept 07.we expected hotel nice exceeded expectations rooms lovely location perfect hosts staff extremely friendly helpful, stay relaxing walter sandro really helped make stay special, hotel truly gem worth excellent rating tripadvisor,  ",5
"liitle gem, excellent clean tidy hotel lovely area charming attentive staff, recommend highly chose recommendations trip advisor, definately place return paris,  ",5
"abosultely excellent hotel exceeded expectations, great location, walk chinatown shopping district places, wonderful lobby doormen excellent, concierge amazing went way help, room great, spacious bathroom great, reconmend hotel,  ",5
"brilliant hotel, highly highly recommended, stayed 3 nights simply not say single negative word hotel, beautifully presented impressive entrance extremely professional attentive staff room perfect, n't fault location walked, ca n't wait stay,  ",5
"excellent excellent excellent.., stayed nights start november, excellent location excellent staff excellent price,  ",5
"loved hotel absolutely charming hotel, service staff excellent, staff bar way making feel like celebrity, rooms beautifully appointed spacious european hotel, hotel great location able walk major attractions, thoroughly enjoyed stay definitely use hotel,  ",5
"exquisite hotel fantastic service now-fiancÄ surprised trip paris propose stayed hotel meurice, hotel gorgeous rooms beautiful, bathrooms marble posh, new spa fantastic, service amazing best, surprise bottle champagne room reservations dinner took care ability assure hottest bars paris went, breakfast elegant champagne salmon cheeses fruits, great location highly recommend hotel,  ",5
"wonderful hotel perfect place stay excellent location room beautiful comfortable nice amenities staff service great, definitely stay,  ",5
